"error","1_Mon","2_Mon","3_Mon","4_Mon","5_Mon","6_Mon","7_Mon","8_Mon","9_Mon","10_Mon","11_Mon","12_Mon"
"alpha",0.370762289572322,0,0,0.346618557181821,0,0,0,0,0,0,0,0
"beta",1.06891464972197,20.687304809597,15.1983044035508,1.46739409900577,22.7776706910713,5.19664096275323,9.55424487217948,11.226790961651,3.60114515225671,17.8929774249657,4.55074398582072,5.14227581470426
"sigma",156.328428298919,0,20.2858280816369,327.442061502978,0,0,0,0,0,0,0,0
"q1",74.5520109815322,0.559412280530083,4.85421117555022,16.1159367345569,1.60763782594303,2.85761700884619,0.157445894630798,0.731442468064789,0.230692136874003,0.450880597072489,0.185991923703885,0.436678883500744
"q2",0.735766896349557,0,0,0,0,0,0,0,0,0,0,0
