"Days","1_Mon","2_Mon","3_Mon","4_Mon","5_Mon","6_Mon","7_Mon","8_Mon","9_Mon","10_Mon","11_Mon","12_Mon"
1,0.19,0.23,0.28,0.32,0.37,0.41,0.47,0.51,0.55,0.59,0.64,0.69
2,0.243512717179377,0.346913135160793,1.19496749157416,0.151184043664789,-1.64269826477699,-3.11077679624497,0.963041799464646,13.0382880239445,-1.04310108595002,-0.357832286654135,-9.85154491479604,-1.33636480107334
3,0.252244598399313,0.607631322388779,0.202138597844035,0.0225076663273189,0.906912376144479,-4.87511648461696,7.70279882329733,17.7512866231674,-1.48213274443169,-4.34812268569602,-7.97364176509864,0.937316240475591
4,0.53622476218382,0.528522579581315,-0.0486490720872111,1.726931898437,5.66552506345783,-5.57625397550928,4.0823275007604,27.1830658638028,-1.29796837636775,-2.21692886152176,-3.72397510716684,1.84348931864317
5,0.753248442631333,0.273526600044094,-1.58246926647874,0.925876627393639,3.57227798311496,-3.26255468421659,10.4663149020227,21.8968847072753,-2.25487908183321,-17.5663099834119,-3.42146111073375,0.261316704180538
6,0.491625853113739,0.258447512626334,-0.842276415918957,0.974683080502073,0.749688486909852,0.0861682244026856,18.6831280442251,27.0253746896814,-4.14903345497662,-20.9898350476272,-4.03842276989846,-4.84596912369797
7,0.398899331914225,0.544150352454839,-0.831583891456948,0.559925302312529,0.0999577496198849,1.02207293483373,20.3463308527522,24.2386812328274,-2.80074411098026,-25.5948480991537,-12.2542380094808,-3.08380395325782
8,0.117590513097733,0.71983922852938,-1.46211534642715,1.68566140501204,-1.96643483238505,-1.91214780992936,26.1479402802191,20.1743409310674,-0.875333313400522,-35.3339526677372,-10.6603787198072,-2.35289518521257
9,0.162781364240532,0.524992368124061,-1.23993634803763,1.14675212688981,-1.45171858698494,1.4662221798614,37.3591457859311,31.4756070818891,-3.37691069466725,-23.4268132163626,-4.38268106449209,3.42478419393014
10,0.146125698162889,0.602993666522628,-1.05444876463255,-0.360622158910437,-5.29173650398925,1.90132837403843,37.9768992828597,27.9904961778162,-1.37690715028805,-14.1076556075752,-6.26757845392545,8.27239633316602
11,0.112666620451534,0.77899613236277,-1.18385526882912,0.711135765721847,-3.60859802047827,5.78452855177566,38.1680986856118,29.2327810346053,-1.02506642709707,5.87854524574831,1.39127261781883,4.58061115337644
12,0.197304201552633,1.06315341667625,-2.02980562824743,-0.867870713962986,-0.625956806130668,9.3667298429804,28.5814758228688,37.0955683922257,-0.527237275599009,-2.57667414041408,9.35533566178882,10.073942442709
13,0.0948431302282748,1.16171251157086,-2.20971515146391,-0.65524005707103,-5.01139852352005,14.5097437618421,28.3257734927876,27.7672270564336,-4.26213907554689,9.05204092194882,0.69241256056374,7.51045260844514
14,0.127705852315739,1.06889850268116,-2.546990046163,0.887552176202748,-6.45153167730609,19.1584000945382,19.9365312238083,31.1409641936276,-2.7989896644399,12.8633629750734,-2.59295571047291,1.74776979743464
15,0.164250039634147,0.791167542110456,-1.61264619818985,0.585360659799044,-5.54138836371908,20.9563667723457,26.153778589802,33.4539693937696,-3.51462184195314,20.0531480447942,3.65813991400889,5.26488924919975
16,0.177150324752307,0.764048195407807,-0.663996900107755,0.183571723568265,-8.21616133783787,19.645876502881,28.7212819297916,41.3877122909193,-4.67267711041003,28.6509991484504,4.85537242676387,4.12459852563007
17,0.0870432344898815,0.893490872410198,-1.22139723105478,-1.0223568791606,-6.28187291267959,21.3188291415389,31.9996420628002,38.5072421712583,-2.93420125445008,28.764703446794,1.73171209964793,7.25984818908044
18,0.0869857122333114,0.946675315655072,-0.760873759874056,-2.87661302083936,-3.11975780535981,20.4980667488354,33.9144043626445,35.3206940623092,-3.28804290983099,39.7487232097153,-1.76225344717897,5.86370962061195
19,0.0427328215554169,0.886275773191553,1.33850019569971,-1.96708028949408,-6.37924897488978,17.4175235636769,36.5502805517579,42.5368645745975,-5.02608630463228,33.6826291312036,0.347197453170407,-2.93827290408776
20,0.170004861623699,1.16198769449727,0.801113981026413,-3.67291642491546,-9.52919634894041,21.42810672502,41.4214503064371,47.3775423420707,-7.21293132767133,27.601246099534,-0.337083101405824,-9.10678294005848
21,0.18007633511584,1.05145236448637,-0.120111332444295,-3.66611015170164,-5.07682281055822,23.6127867993876,46.0107995303402,42.3240585769182,-4.54873106324587,47.1731243605575,4.16766570096182,-5.42396316728651
22,0.445589754702379,1.06752796681158,-1.32218741481676,-1.11672492552384,-7.51958755090358,23.8048964014205,57.5417177372061,50.4664177278552,-5.8200055864583,51.6935764809635,2.23009528415706,2.14150638244218
23,0.387051715196564,0.956687150282474,-0.44332144375358,1.07707897866555,-5.01866038010561,22.1671270552776,53.6987650493895,45.5203940859633,-3.93351094685612,60.8253360076938,0.339429917570526,1.91085475073165
