"Days","1_Mon","2_Mon","3_Mon","4_Mon","5_Mon","6_Mon","7_Mon","8_Mon","9_Mon","10_Mon","11_Mon","12_Mon"
1,0.19,0.23,0.28,0.32,0.37,0.41,0.47,0.51,0.55,0.59,0.64,0.69
2,0.318705152218231,-0.503000019861329,3.26518273530236,6.12852340355798,2.25459862866381,-1.71587107286147,1.08599777842674,-1.17936015732623,0.669992831814517,3.83711784356469,0.389321195787498,1.55172826541819
3,0.837359976347023,-0.530146335893386,1.66942660121474,9.7640854705079,-0.418007935101544,0.051680061567327,0.704009697435238,-2.02216436052504,0.558756543530513,2.46038768161474,0.376763875107067,1.98165180965779
4,0.880859023900646,-2.41698495799868,1.35978103966766,5.27392710829476,-1.00193437403523,-1.61874319062919,-0.376981647326597,0.527064278609185,0.435008101224376,-0.377419471009813,0.710014373102935,3.42446838539012
5,1.05107803562065,-1.73464299984749,1.40998160665192,13.7181233658217,-2.81624545221221,-0.692290788971193,-0.953835302409702,0.01305695762965,-0.12249514989197,1.16003172456699,1.27316807175315,3.77917485890414
6,0.963139424753671,-2.69172941496053,0.820615746907805,18.6022233785315,-5.03198993069035,-1.73348201741436,-2.11649994187146,-1.8736367740608,0.185674518191619,0.215507023600443,1.53817700078995,2.9805649535107
7,0.375603585988772,-1.86823175496256,-0.047618103914746,11.0505634507558,-6.81804095375274,2.30043493469143,-2.67372757588469,-3.50200828467767,0.42440164044671,-0.218817937568427,1.02847730171396,2.9629261785592
8,0.392833143143801,-1.96162388723578,-2.39425038996111,11.1260302817322,-9.45614560402562,0.338128453011895,-2.11684800514086,-1.33983155042435,0.992619704995206,-0.60867984771464,1.35358024802598,2.93839875887355
9,-1.09613896406326,-2.98126719632218,0.0153360868724404,15.5369010927275,-10.0283891107273,3.47761299819704,-1.79860111344547,0.101549525893283,0.648359284297268,1.66368887539895,1.85950369994054,1.41091200027724
10,-1.48608138223919,-5.39626354776302,-4.28918674927053,5.25012989074649,-7.50340992245722,7.27578722149512,-1.17773152678514,-0.71124182473526,0.703313547096515,1.48718254315105,1.83000491115872,2.12499809617713
11,-3.19330171952211,-4.6229727747404,-3.2914564726674,17.8559237914287,-10.0553967297713,3.81202564624557,-0.77698308953125,-0.737916291607846,1.10909902556221,5.0401172265478,1.54444812150581,1.50113239773372
12,-4.00114356657999,-5.75277100377718,1.62911156276831,21.6863781876364,-9.85141245929419,8.45782374455609,-0.734385508329458,-1.86138302838059,1.17469064839799,4.4655401394704,1.35977053668384,1.0317402229002
13,-5.00611708905319,-7.90944298057237,2.92160175636917,9.50416389667661,-13.4691574957832,10.7837547748701,-1.96505252610051,0.783772112938713,1.0054153865375,5.63269587254351,1.53438969092438,0.626140684126457
14,-5.31486244863791,-9.37490842366208,1.78385580122292,15.8028638802694,-14.0733866122051,11.4096375259775,-2.85814647009605,-1.83294364121376,0.850713454093308,4.37617366228154,1.59185157726318,1.4503479212854
15,-4.46796747748444,-10.2515648638937,-2.22486440687022,23.1476271199837,-15.3661734191259,11.9820842774018,-1.9976129885971,-0.44500277866718,0.55732537712047,6.19677225814568,0.356295179791916,0.83371686639033
16,-2.67431022737103,-10.2415797877465,-3.64209495316706,21.4725988980104,-15.4758147515796,5.57246301984579,-2.42129254395563,-0.407501492567175,0.326340350152441,5.11824365451604,0.552842850299523,0.144716169037838
17,-2.96645771181785,-11.7258079830176,-5.13296498612348,6.5385581611753,-15.6116667368472,6.73132291740867,-3.19105800643225,0.0358116198227701,-0.101175717858399,5.8131640379351,1.97011611133492,0.930571870287955
18,-2.342313023984,-12.5508300346305,-6.61983221138407,17.1801383962744,-19.1729879518007,6.72612408322312,-3.39993658613943,0.704316341804028,0.0362701492435556,5.9025798727211,1.88589760931439,1.09009611595197
19,-2.34450577484794,-13.1762396063173,-5.36570866111508,12.7262386560823,-20.4783677445898,8.66526470492994,-4.39182140746183,2.88268498375884,0.567983388718413,8.47043713300356,1.73948703041944,1.47480925764937
20,-1.73110559086396,-11.9644909697979,-5.91178848806754,11.204946448825,-18.3387279550606,9.72514391064073,-4.42816346380213,3.56411664637692,1.22097885817741,9.32774413139677,1.22386870670287,1.61402102452079
21,-2.61898676077528,-12.5215722979636,-0.394103513055706,2.19916281410848,-19.8706553187868,7.50926916995371,-5.0635789701084,3.01174018705993,0.539861860625434,9.88815239717113,1.24635104289682,1.78079211295056
22,-3.28399551514119,-14.0222674174679,-0.169957314053729,11.2605442375997,-17.4133618126195,7.49842254351994,-5.01618147530235,2.03921749375694,0.23534281968018,7.75918713642158,1.85181266500242,1.61679386824319
23,-2.0333248884858,-14.6919569585116,2.14187578583633,17.5259302565897,-17.5938159578477,10.3673177956731,-5.33207813467409,1.81238588007667,0.394405224947509,9.1885139112646,2.25927095096879,1.78113666057935
24,-2.52381317974269,-15.4490575282686,3.7663681787407,12.3666327549335,-17.4388613392882,9.99284160354853,-3.59902197785894,1.22049368370874,0.530901626971933,13.5112220128188,1.45093822193382,0.993118131459926
25,-2.59120515811962,-17.4073733495415,2.69426291290768,2.37862275055428,-15.4701939779996,11.2656189709117,-2.63774799418341,3.01180154275041,0.822020518085788,16.1093488084028,1.24117681909714,0.734157564423981
26,-2.41417307468366,-17.7607034973454,3.35243339996091,5.44026303690871,-13.2943832700667,11.5733484692528,-3.87988910769266,3.76830690042512,0.718797809790279,16.0237360481485,0.577525205353937,1.06429086188726
27,-2.86877111859803,-19.0679670990364,4.69844885232022,12.6878324049612,-14.8300520946463,9.13448439832999,-3.81227847474953,3.31140628345976,0.27464020000359,17.3366553085043,0.372864305694359,2.18550745637421
28,-2.99897348613153,-20.2205749079507,4.88923621343368,5.03275322273285,-14.3329654356662,8.78901135767259,-4.34988071777039,3.93610243123216,0.509163981997744,17.1436567713709,0.715708428126869,2.76121843992804
29,-3.46523667560956,-20.6946060765396,5.98194553945021,0.98121083849055,-14.7468479399448,6.72017503966513,-5.00867799055391,4.29079120645226,0.673821460459427,17.1351837073266,0.658416347130918,1.99199603967564
30,-2.83346821773977,-21.9054955203309,3.88309984565612,-1.49394790799819,-15.6587189287771,9.93641978907349,-5.88904535754757,2.20981282017777,0.830020916109386,18.2537486464431,0.360266283337054,2.32180556096746
31,-1.75433020945852,-21.7486036824165,5.87089459669305,7.70584546562701,-14.7573656648192,16.1077136655661,-6.27362071096926,1.67204144465702,1.16462017744428,15.2530514916423,1.31390707737214,3.24217500025611
32,-1.88343397415495,-21.5081151930946,4.49064416783531,7.89418157641451,-14.8084666800899,16.3356879787832,-5.23067608122128,1.30006398440317,1.44603833443775,14.4757892442999,1.3885118112752,2.21532001329849
33,-1.85360718432232,-20.9110755486361,8.3434777938312,5.11212289305538,-12.1590769505969,15.1019169357868,-5.60028164891246,1.78044548914456,1.30810089961908,14.1517197870386,1.15941701375051,2.32618395177901
34,-1.42468455362502,-21.1090095968078,9.21599312225471,10.4276140807383,-15.0010800903719,16.4090346676921,-5.74731678082372,0.44223990798442,1.52861683583298,13.7060354437543,0.549606071358123,1.06110982616031
35,-1.36503286857065,-20.8329121912021,8.56472486082366,10.2318321989245,-14.9968479414989,11.1517022347171,-6.13122176384698,2.25980932889364,1.76538418913859,15.1003993929885,0.799407604209288,-0.521704665849046
36,-1.44939611128248,-21.4787639762274,7.28084601622845,7.1519852838111,-17.8075306719703,13.0963440351608,-5.96195156220752,1.28903464972416,1.51662035482081,13.5515448989931,-0.112016764160557,0.360484176301765
37,-0.399928241838672,-21.6078299520011,6.24834920374692,3.39687366541161,-19.8022241982842,9.45970903140906,-5.34895317808028,1.52695518320385,1.53347187426337,16.5452721373508,-0.380116996362371,0.235302311367545
38,-1.08150181181326,-21.699346115351,6.39306975879863,11.3208725356323,-17.7040363622408,8.60148368237462,-4.02283648309105,0.0162133382600687,1.24837438556196,15.4006660057011,-1.2334294871696,0.788314502896887
39,-0.394559824504355,-21.9886183667307,6.79511643381181,17.8905778241268,-15.6425193788707,7.86916897675556,-3.97809934806955,-0.0863359835887818,0.685071872321417,15.3966343471675,-0.213954251262235,0.501190791167571
40,-0.394709267140088,-22.1432363744537,5.73814019303677,23.4023115974491,-15.8418112822657,7.91870308850522,-4.57554269118191,-1.97902182038024,1.39820478342796,17.3612797627513,-0.233834504730798,1.90295569871236
41,0.104815572438856,-21.9360771490828,6.79206067256043,23.5773248713615,-14.2491719393963,12.1264529255862,-3.60793092591126,-1.28011270923023,1.66452233488095,18.7220841824985,-0.0556639470920264,2.24464428265546
42,1.1929304146283,-23.2655852779966,7.09435146153074,28.9327104132684,-14.543472354244,14.6861319822068,-3.25171550891126,1.15570506781293,1.39058136559317,16.8480322031335,0.0483926958859645,2.44981405390414
43,0.61477134405486,-23.1244096163213,7.88896463417652,27.0811658098144,-13.989571006399,21.8710546656109,-2.89390164131868,1.07599003469343,1.03591345824928,17.6832738749721,-0.0405284619827807,2.50515980728285
44,1.09496613764849,-22.3498964909367,8.02542982228766,31.1935236606092,-13.7290773294498,26.604933085751,-3.23040796634877,1.67287516010279,1.22578028990058,23.5707251070472,-0.223287168958665,2.91623338345766
45,0.119976928423838,-21.0008135406309,7.60402347304194,29.3758144640015,-12.8670793843887,21.1130056958816,-3.42746238220414,3.50628952809954,0.715825254657088,25.2382034292873,-0.61270866859746,3.80641457993538
46,-0.638165242161017,-20.4457079313903,6.20705201169397,23.0428185542962,-11.7788271596305,17.1655930266876,-3.3604172277603,3.32002115775851,0.684721962341916,24.860713046597,0.291672659607394,3.75639698748977
47,-0.797860652359733,-19.7569029044405,7.22067724395584,7.70411225076581,-12.8727428149476,19.5145242494756,-5.20519575461611,4.50954995790092,0.694173149811782,25.4720899448679,0.545661315212948,3.61130497611404
48,0.22655254448334,-18.2498226594625,7.49826900056298,7.84829501640828,-15.603660705331,19.474772756232,-5.06419722114564,5.3882324156129,0.967886788187223,24.2252098200673,0.383793562368804,4.21035741521246
49,-0.691118141280607,-18.4327125155589,9.74638265514577,8.07678696503021,-18.6676526448268,22.1500551750424,-5.23372708979347,6.73611383914821,0.84197417101879,24.2794374925388,-0.0497823326558988,3.5026094584158
50,-0.436702968670286,-18.6568998958647,11.7257010219471,18.6187269733863,-16.1948185704044,19.1288026800991,-5.58511844930225,7.94761433187985,0.696032407888243,21.9460722605917,0.184968077004406,4.35498655742844
51,-0.5480899681721,-18.338442877363,14.7681957481097,-1.69602776719267,-17.6652050513298,20.1160209152593,-6.57015147479067,7.22345572475648,1.05751387450455,19.9029349443552,0.605391673964299,4.59442632777345
52,-0.813034766219001,-17.890662174989,14.230922370895,4.33825373101364,-18.658797385137,19.7042020446659,-7.26950710697742,4.61776241909472,0.863334904356201,19.9854273468927,1.22724989348349,4.45347676409828
53,-0.568412188578689,-19.1928270700285,13.7389781786494,1.64531082192013,-19.0380281395846,18.7438685848641,-7.86811723056787,5.07513017991175,0.195598058469654,18.8771608534432,1.97179306246497,3.58382173402205
54,-0.8497171917812,-19.0500086760633,14.9623831121283,-6.61425515950724,-17.0511159713726,19.1805275305567,-8.00329275640892,6.15976602810431,0.174601115240564,18.2436854727767,2.22773134355849,4.37689648223484
55,-2.28751819846284,-19.1026469449323,12.0481246469916,-5.67816445666831,-15.362993422011,17.214524081915,-9.95270141530006,5.4773824570614,0.381865765774853,20.5984648941563,2.08017038541647,5.4499082577762
56,-2.40120298809877,-20.1322421530012,12.2894209132889,1.66266229492666,-15.8416668865505,16.623886973619,-8.88266072668021,5.74122455686238,-0.140346268880315,21.0456842188384,1.51033114347598,6.1138571397399
