"error","1_Mon","2_Mon","3_Mon","4_Mon","5_Mon","6_Mon","7_Mon","8_Mon","9_Mon","10_Mon","11_Mon","12_Mon"
"alpha",0,0.186919462742117,0.17975071539059,0.173709564791404,0.178199478522842,0.182162903508072,0.183411446773513,0.214308192730982,0.190522085968259,0.19578074421614,0.201717667844378,0.206208573834439
"beta",5.5851868051772,9.29072382192763,2.62172119674294,39.4956490736292,24.9446497745521,78.7801094105955,15.406608936235,7.16379919942813,2.79246206971156e-11,1.34175594460747,16.7735981813059,5.88333432957592
"sigma",0.0133623835032707,94.7227793717119,97.4560697872403,488.926948778599,386.807118556408,507.559531483615,282.585286973634,1015.24134720215,318.876202204922,1652.69183333356,186.951134594126,100.18827835959
"q1",0.0187364857021663,157.451633064238,104.031535941377,64.5536751169579,51.1274174405003,34.7221543236668,35.7014465870445,29.3161379683059,18.2781229899866,21.4840739627232,20.0932547552996,19.0606107778439
"q2",0,26.4875788252197,0.0459897498276454,0.0357326810633803,0.0183592831318092,0.0213860192227944,0.0104706015300349,0,0.0341028928784739,0,0.0063365658546004,0.00563192157477067
