Parameters,1_Mon,2_Mon,3_Mon,4_Mon,5_Mon,6_Mon,7_Mon,8_Mon,9_Mon,10_Mon,11_Mon,12_Mon
alpha,0.290304581,0.325377683,0.300805688,0.298609999,0.316088338,0.321339985,0.485011661,0.372519066,0.46751519,0.427234734,0.502025851,0.452110644
beta,0.108798445,9.065542256,4.581600313,1.790320758,11.89663876,5.954001059,18.12756701,11.00905688,5.841624231,26.90167311,10.04576421,8.678155769
sigma,11.77405833,15.20636267,29.87756525,116.9933067,27.99140955,46.04014124,12.82515788,15.73739963,4.918949179,30.2022194,7.465584901,10.16481919
q1,-2.077792849,-1.492820542,-1.192754521,-1.133796933,-0.991795128,-0.993129319,-0.428786831,-0.788762808,-0.707321161,-0.603939634,-0.440261439,-0.624355121
q2,7.714325933,4.361346777,2.942786064,2.244181329,1.771014351,1.442908263,1.218695168,1.059372024,0.822295876,0.867789208,0.728692357,0.686533989
